"","year","month","gov_gop","sen_gop","rep_gop","gov_dem","sen_dem","rep_dem","president","close","unemployment"
"1",1947,"January",23,51,253,23,45,198,"dem",NA,NA
"2",1947,"February",23,51,253,23,45,198,"dem",NA,NA
"3",1947,"March",23,51,253,23,45,198,"dem",NA,NA
"4",1947,"April",23,51,253,23,45,198,"dem",NA,NA
"5",1947,"May",23,51,253,23,45,198,"dem",NA,NA
"6",1947,"June",23,51,253,23,45,198,"dem",NA,NA
"7",1947,"July",23,51,253,23,45,198,"dem",NA,NA
"8",1947,"August",23,51,253,23,45,198,"dem",NA,NA
"9",1947,"September",23,51,253,23,45,198,"dem",NA,NA
"10",1947,"October",23,51,253,23,45,198,"dem",NA,NA
"11",1947,"November",24,51,253,23,45,198,"dem",NA,NA
"12",1947,"December",24,51,253,23,45,198,"dem",NA,NA
"13",1948,"January",22,53,253,24,48,198,"dem",NA,3.4
"14",1948,"February",22,53,253,24,48,198,"dem",NA,3.8
"15",1948,"March",22,53,253,24,48,198,"dem",NA,4
"16",1948,"April",22,53,253,24,48,198,"dem",NA,3.9
"17",1948,"May",22,53,253,24,48,198,"dem",NA,3.5
"18",1948,"June",22,53,253,24,48,198,"dem",NA,3.6
"19",1948,"July",22,53,253,24,48,198,"dem",NA,3.6
"20",1948,"August",22,53,253,24,48,198,"dem",NA,3.9
"21",1948,"September",22,53,253,24,48,198,"dem",NA,3.8
"22",1948,"October",22,53,253,24,48,198,"dem",NA,3.7
"23",1948,"November",22,53,253,24,48,198,"dem",NA,3.8
"24",1948,"December",22,53,253,24,48,198,"dem",NA,4
"25",1949,"January",18,45,177,29,58,269,"dem",NA,4.3
"26",1949,"February",18,45,177,29,58,269,"dem",NA,4.7
"27",1949,"March",18,45,177,29,58,269,"dem",NA,5
"28",1949,"April",18,45,177,29,58,269,"dem",NA,5.3
"29",1949,"May",18,45,177,29,58,269,"dem",NA,6.1
"30",1949,"June",18,45,177,29,58,269,"dem",NA,6.2
"31",1949,"July",18,45,177,30,58,269,"dem",NA,6.7
"32",1949,"August",18,45,177,30,58,269,"dem",NA,6.8
"33",1949,"September",18,45,177,30,58,269,"dem",NA,6.6
"34",1949,"October",18,45,177,30,58,269,"dem",NA,7.9
"35",1949,"November",18,45,177,30,58,269,"dem",NA,6.4
"36",1949,"December",18,45,177,30,58,269,"dem",NA,6.6
"37",1950,"January",18,44,177,29,57,269,"dem",NA,6.5
"38",1950,"February",18,44,177,29,57,269,"dem",NA,6.4
"39",1950,"March",18,44,177,29,57,269,"dem",NA,6.3
"40",1950,"April",18,44,177,29,57,269,"dem",NA,5.8
"41",1950,"May",18,44,177,29,57,269,"dem",NA,5.5
"42",1950,"June",18,44,177,29,57,269,"dem",NA,5.4
"43",1950,"July",18,44,177,29,57,269,"dem",NA,5
"44",1950,"August",18,44,177,29,57,269,"dem",NA,4.5
"45",1950,"September",18,44,177,29,57,269,"dem",NA,4.4
"46",1950,"October",18,44,177,29,57,269,"dem",NA,4.2
"47",1950,"November",18,44,177,29,57,269,"dem",NA,4.2
"48",1950,"December",18,44,177,29,57,269,"dem",NA,4.3
"49",1951,"January",24,47,207,22,51,242,"dem",NA,3.7
"50",1951,"February",24,47,207,22,51,242,"dem",NA,3.4
"51",1951,"March",24,47,207,22,51,242,"dem",NA,3.4
"52",1951,"April",24,47,207,22,51,242,"dem",NA,3.1
"53",1951,"May",24,47,207,22,51,242,"dem",NA,3
"54",1951,"June",24,47,207,22,51,242,"dem",NA,3.2
"55",1951,"July",24,47,207,22,51,242,"dem",NA,3.1
"56",1951,"August",24,47,207,22,51,242,"dem",NA,3.1
"57",1951,"September",24,47,207,22,51,242,"dem",NA,3.3
"58",1951,"October",25,47,207,22,51,242,"dem",NA,3.5
