"","dumpster","year","month","day","weight_tons","volume_cubic_yards","plastic_bottles","polystyrene","cigarette_butts","glass_bottles","plastic_bags","wrappers","sports_balls","homes_powered"
"1","mr_1","2014","May","16",4.31,18,1450,1820,126000,72,584,1162,7.2,71.8333333333333
"2","mr_2","2014","May","16",2.74,13,1120,1030,91000,42,496,874,5.2,45.6666666666667
"3","mr_3","2014","May","16",3.45,15,2450,3100,105000,50,1080,2032,6,57.5
"4","mr_4","2014","May","17",3.1,15,2380,2730,100000,52,896,1971,6,51.6666666666667
"5","mr_5","2014","May","17",4.06,18,980,870,120000,72,368,753,7.2,67.6666666666667
"6","mr_6","2014","May","20",2.71,13,1430,2140,90000,46,672,1144,5.2,45.1666666666667
"7","mr_7","2014","May","21",1.91,8,910,1090,56000,32,416,692,3.2,31.8333333333333
"8","mr_8","2014","May","28",3.7,16,3580,4310,112000,58,1552,3015,6.4,61.6666666666667
"9","mr_9","2014","June","05",2.52,14,2400,2790,98000,49,984,1988,5.6,42
"10","mr_10","2014","June","11",3.76,18,1340,1730,130000,75,448,1066,7.2,62.6666666666667
"11","mr_11","2014","June","11",3.43,15,740,869,110000,38,344,544,6,57.1666666666667
"12","mr_12","2014","June","12",4.17,19,950,1140,133000,45,520,727,7.6,69.5
"13","mr_13","2014","June","13",5.13,15,530,630,104000,58,224,361,6,85.5
"14","mr_14","2014","June","13",4.17,15,840,760,100000,62,344,631,6,69.5
"15","mr_15","2014","June","19",3.28,15,1130,1350,102000,64,432,883,6,54.6666666666667
"16","mr_16","2014","June","19",3.05,15,1640,2130,106000,56,752,1327,6,50.8333333333333
"17","mr_17","2014","June","28",2.49,13,1350,1620,89000,47,696,1075,5.2,41.5
"18","mr_18","2014","July","03",2.54,15,1640,1960,108000,65,744,1327,6,42.3333333333333
"19","mr_19","2014","July","07",2.41,15,1730,2100,107000,63,896,1405,6,40.1666666666667
"20","mr_20","2014","July","11",3.83,18,5960,6540,132000,79,2560,5085,7.2,63.8333333333333
"21","mr_21","2014","July","14",2.73,15,2170,2620,112000,32,1144,1788,6,45.5
"22","mr_22","2014","July","15",4.4,16,1930,2210,115000,53,688,1579,6.4,73.3333333333333
"23","mr_23","2014","July","15",2.79,14,3200,3840,98000,25,1464,2684,5.6,46.5
"24","mr_24","2014","July","25",2.5,13,2500,3040,85000,18,1248,2075,5.2,41.6666666666667
"25","mr_25","2014","August","04",4.39,16,2140,2050,118000,68,904,1762,6.4,73.1666666666667
"26","mr_26","2014","August","04",5.33,17,1630,1950,123000,75,512,1318,6.8,88.8333333333333
"27","mr_27","2014","August","13",3.58,20,3640,4360,141000,82,1560,3067,8,59.6666666666667
"28","mr_28","2014","August","13",3.1,17,1430,1870,121000,63,552,1144,6.8,51.6666666666667
"29","mr_29","2014","August","19",1.77,10,570,780,32000,21,310,1440,4,29.5
"30","mr_30","2014","September","03",3.76,18,4800,3640,310000,110,1880,2200,7.2,62.6666666666667
"31","mr_31","2014","September","24",1.24,8,550,860,18000,11,420,1040,3.2,20.6666666666667
"32","mr_32","2014","September","26",3.14,15,2240,2880,112000,42,1200,1860,6,52.3333333333333
"33","mr_33","2014","October","03",2.71,16,4220,4840,84000,38,1400,2140,6.4,45.1666666666667
"34","mr_34","2014","October","09",2.11,14,1400,1650,80000,18,1450,2030,5.6,35.1666666666667
"35","mr_35","2014","October","20",4.09,18,2820,3010,78000,7,990,1450,7.2,68.1666666666667
"36","mr_36","2014","October","20",2.31,14,1900,2240,81000,22,840,1260,5.6,38.5
"37","mr_37","2014","October","24",3.5,15,3650,3880,94000,51,1210,1840,6,58.3333333333333
"38","mr_38","2014","November","06",2.7,15,760,1680,22000,18,960,1720,6,45
"39","mr_39","2014","November","17",3.25,18,1250,2730,46000,28,1130,2340,7.2,54.1666666666667
"40","mr_40","2014","November","20",3.84,15,880,1840,35000,14,730,1760,6,64
"41","mr_41","2014","November","28",2.88,15,1800,3970,52000,32,560,1850,6,48
"42","mr_42","2014","December","01",1.81,17,1370,3140,38000,28,950,1620,6.8,30.1666666666667
"43","mr_43","2014","December","17",3.48,15,550,1450,22000,34,740,1280,6,58
"44","mr_44","2014","December","30",3.18,15,640,1670,26000,42,880,1540,6,53
"45","mr_45","2015","January","12",2.87,17,1160,2250,31000,60,1120,2450,7,47.8333333333333
"46","mr_46","2015","January","23",2,14,1570,2400,33000,37,380,910,6,33.3333333333333
"47","mr_47","2015","January","26",2.14,13,1340,2650,28000,46,430,1170,5,35.6666666666667
"48","mr_48","2015","February","04",2.54,15,1740,2250,22000,38,320,980,3,42.3333333333333
"49","mr_49","2015","March","09",3.82,18,2870,3240,25000,26,540,860,8,63.6666666666667
"50","mr_50","2015","March","13",1.83,15,3120,5430,32000,54,650,1120,16,30.5
"51","mr_51","2015","March","27",2.02,15,2780,4980,26000,47,470,960,14,33.6666666666667
"52","mr_52","2015","April","08",2.5,18,2240,2360,27000,46,270,840,13,41.6666666666667
"53","mr_53","2015","April","10",3.41,15,2550,3420,32000,32,320,1260,16,56.8333333333333
"54","mr_54","2015","April","19",1.83,11,1470,1840,18000,22,240,680,8,30.5
"55","mr_55","2015","April","20",3.84,18,1240,1630,23000,18,430,760,5,64
"56","mr_56","2015","April","20",3.22,15,1150,1420,19000,16,370,590,8,53.6666666666667
"57","mr_57","2015","April","20",3.03,15,2850,3160,18000,15,350,610,11,50.5
"58","mr_58","2015","April","20",2.64,18,960,1280,22000,22,450,820,7,44
"59","mr_59","2015","April","20",3.54,15,870,1140,18000,17,330,620,6,59
"60","mr_60","2015","May","15",1.95,9,1340,2150,22000,16,190,530,8,32.5
"61","mr_61","2015","May","17",4.25,18,2630,3480,38000,36,1240,1760,22,70.8333333333333
"62","mr_62","2015","May","17",5.62,15,1850,3270,54000,44,970,1320,28,93.6666666666667
"63","mr_63","2015","May","18",3.81,15,2830,3780,48000,28,650,1130,19,63.5
"64","mr_64","2015","May","19",3.45,18,1740,2630,32000,16,820,1250,32,57.5
"65","mr_65","2015","May","19",3.34,15,2780,3250,37000,32,1140,1960,24,55.6666666666667
"66","mr_66","2015","June","01",2.54,15,1260,1830,56000,56,1230,2140,26,42.3333333333333
"67","mr_67","2015","June","09",4.66,18,2340,3460,48000,42,1620,1840,36,77.6666666666667
"68","mr_68","2015","June","09",3.39,15,3240,4360,33000,23,1430,1760,24,56.5
"69","mr_69","2015","June","09",3.17,15,940,1220,35000,18,840,960,9,52.8333333333333
"70","mr_70","2015","June","09",3.15,18,830,1150,37000,26,920,1050,16,52.5
"71","mr_71","2015","June","09",3.83,15,960,1190,33000,22,730,940,22,63.8333333333333
"72","mr_72","2015","June","10",4.78,15,870,1040,32000,24,820,960,17,79.6666666666667
"73","mr_73","2015","June","10",3.85,18,920,1290,34000,26,930,1020,13,64.1666666666667
"74","mr_74","2015","June","10",4.48,15,1130,1370,38000,29,1270,1450,14,74.6666666666667
"75","mr_75","2015","June","10",4.18,15,1060,1250,37000,27,1340,1420,21,69.6666666666667
"76","mr_76","2015","June","10",3.38,18,740,930,34000,19,1130,1340,15,56.3333333333333
"77","mr_77","2015","June","10",3.83,15,950,1220,35000,21,1370,1430,13,63.8333333333333
"78","mr_78","2015","June","12",3.95,15,2340,3250,65000,45,2730,3340,18,65.8333333333333
"79","mr_79","2015","June","15",2.44,18,2660,3420,72000,37,2430,3170,16,40.6666666666667
"80","mr_80","2015","June","18",2.85,15,2430,3120,68000,35,2370,2820,22,47.5
"81","mr_81","2015","June","24",3.43,15,2690,3370,82000,29,1910,2180,32,57.1666666666667
"82","mr_82","2015","June","24",4.28,18,1540,1780,45000,24,1830,1990,18,71.3333333333333
"83","mr_83","2015","June","24",3.94,15,1240,1450,37000,31,1650,1780,21,65.6666666666667
"84","mr_84","2015","June","28",3.38,15,2870,3560,68000,36,2140,2450,34,56.3333333333333
"85","mr_85","2015","June","28",3.45,18,2450,3240,74000,41,2320,2750,19,57.5
"86","mr_86","2015","June","29",3.93,15,1830,2240,36000,28,1630,2450,14,65.5
"87","mr_87","2015","July","07",4.07,15,2360,3120,82000,32,1840,2950,22,67.8333333333333
"88","mr_88","2015","July","08",3.03,18,2640,3520,68000,28,1460,2630,16,50.5
"89","mr_89","2015","July","14",3.52,15,2840,3360,65000,41,1690,2580,25,58.6666666666667
"90","mr_90","2015","July","14",3.51,15,2640,3120,76000,38,2130,2760,27,58.5
"91","mr_91","2015","July","27",3.68,18,3070,4250,82000,26,1770,2540,18,61.3333333333333
"92","mr_92","2015","July","29",3.4,15,2820,3740,75000,31,2400,2940,20,56.6666666666667
"93","mr_93","2015","August","04",3.72,15,2640,3250,68000,26,1860,2730,17,62
"94","mr_94","2015","August","18",1.84,9,870,980,34000,13,750,930,56,30.6666666666667
"95","mr_95","2015","August","21",3,15,3220,3460,67000,36,2170,2450,32,50
"96","mr_96","2015","August","25",4.33,18,1980,2190,48000,21,1600,1840,22,72.1666666666667
"97","mr_97","2015","August","25",4.3,15,410,540,3000,16,250,330,6,71.6666666666667
"98","mr_98","2015","August","26",3.39,15,640,780,32000,18,350,560,3,56.5
"99","mr_99","2015","September","11",4.08,18,2730,3140,54000,45,2430,2680,17,68
"100","mr_100","2015","September","11",3.62,15,1360,1570,26000,25,1420,1570,13,60.3333333333333
"101","mr_101","2015","September","22",2.4,7,760,1030,24000,16,780,1340,12,40
"102","mr_102","2015","September","30",4.24,18,1240,1460,46000,43,860,920,7,70.6666666666667
"103","mr_103","2015","September","30",3.31,15,800,920,32000,26,270,450,8,55.1666666666667
"104","mr_104","2015","October","12",2.9,15,2540,2780,42000,54,2230,3140,16,48.3333333333333
"105","mr_105","2015","October","27",2.46,18,2130,2560,34000,43,1970,2430,23,41
"106","mr_106","2015","October","31",2.89,15,2670,2820,36000,35,2450,2830,33,48.1666666666667
"107","mr_107","2015","November","20",4.46,15,1940,2230,28000,47,2960,3320,27,74.3333333333333
"108","mr_108","2015","December","02",3.42,18,2140,2570,19000,62,3100,3540,15,57
"109","mr_109","2015","December","02",3.56,15,1960,2340,21000,56,3300,4120,21,59.3333333333333
"110","mr_110","2015","December","23",1.92,12,1640,2150,32000,32,2430,2660,9,32
"111","mr_111","2015","December","24",2.9,18,1850,2670,33000,36,2770,3240,13,48.3333333333333
"112","mr_112","2015","December","26",3.24,15,2370,3240,24000,42,1830,2250,22,54
"113","mr_113","2015","December","26",4.41,15,2530,3300,41000,47,2190,3540,17,73.5
"114","mr_114","2015","December","26",3.39,18,2720,3690,23000,22,2520,3360,27,56.5
"115","mr_115","2015","December","26",3.27,15,2250,3180,37000,63,2740,2840,8,54.5
"116","mr_116","2016","January","10",3.6,15,3240,4160,28000,54,1360,2580,17,60
"117","mr_117","2016","February","02",4.06,18,3530,4620,24000,62,1850,2210,14,67.6666666666667
"118","mr_118","2016","February","03",2.11,15,2340,3870,31000,46,2130,2680,21,35.1666666666667
"119","mr_119","2016","February","05",3.01,15,2460,3640,27000,38,1920,2390,26,50.1666666666667
"120","mr_120","2016","February","17",3.41,18,1340,1680,24000,22,1530,1940,6,56.8333333333333
"121","mr_121","2016","February","19",3.66,15,950,1120,21000,32,1370,1640,4,61
"122","mr_122","2016","February","25",4.51,15,2240,3150,36000,46,2450,3140,16,75.1666666666667
"123","mr_123","2016","March","01",2.89,18,3050,3270,29000,24,1740,2250,24,48.1666666666667
"124","mr_124","2016","March","11",2.89,15,1630,1820,18000,37,2150,2390,23,48.1666666666667
"125","mr_125","2016","March","12",2.51,15,1120,1460,17000,43,2270,2490,18,41.8333333333333
"126","mr_126","2016","March","15",3.58,18,3340,3640,45000,48,3450,3740,46,59.6666666666667
"127","mr_127","2016","March","29",3.41,15,3560,3740,43000,53,3320,3570,38,56.8333333333333
"128","mr_128","2016","April","08",2.79,15,2460,3150,38000,46,3540,3840,24,46.5
"129","mr_129","2016","April","30",4.21,18,3860,4240,47000,18,3200,3470,36,70.1666666666667
"130","mr_130","2016","April","30",4.88,15,3230,3640,52000,27,3750,3940,42,81.3333333333333
"131","mr_131","2016","April","30",4.47,15,3760,4150,45000,40,2840,3270,23,74.5
"132","mr_132","2016","April","30",3.29,18,3640,3520,52000,33,2530,2940,34,54.8333333333333
"133","mr_133","2016","May","07",4.16,15,4230,4620,53000,34,2727,3360,38,69.3333333333333
"134","mr_134","2016","May","12",2.93,15,3590,3840,47000,42,1760,2640,26,48.8333333333333
"135","mr_135","2016","May","31",2.37,18,3740,4120,56000,65,1680,2530,32,39.5
"136","mr_136","2016","June","15",2.57,15,4200,4630,38000,53,1480,1760,43,42.8333333333333
"137","mr_137","2016","June","16",2.39,15,3840,3990,41000,32,1540,2030,38,39.8333333333333
"138","mr_138","2016","June","21",3.98,15,4350,4120,45000,42,1630,2140,24,66.3333333333333
"139","mr_139","2016","June","22",3.47,15,3960,3720,52000,38,1870,2200,35,57.8333333333333
"140","mr_140","2016","June","24",3.97,18,4150,3970,48000,41,1530,1700,26,66.1666666666667
"141","mr_141","2016","June","30",3.12,18,4450,4310,58000,43,2130,2410,29,52
"142","mr_142","2016","July","01",3.17,15,3460,3820,43000,38,2240,2670,31,52.8333333333333
"143","mr_143","2016","July","13",2.12,15,2850,3120,52000,53,1930,2150,28,35.3333333333333
"144","mr_144","2016","July","23",2.31,18,3560,3780,65000,33,2460,2520,34,38.5
"145","mr_145","2016","July","28",3.16,15,4130,4360,52000,54,2610,2900,26,52.6666666666667
"146","mr_146","2016","July","29",4.02,15,4350,4600,55000,34,2430,2780,38,67
"147","mr_147","2016","July","29",3.26,18,4420,4850,65000,48,2340,2580,25,54.3333333333333
"148","mr_148","2016","July","31",3.82,15,2130,2240,35000,45,1830,2140,16,63.6666666666667
"149","mr_149","2016","July","31",4.88,15,2450,2500,32000,33,1950,2070,24,81.3333333333333
"150","mr_150","2016","August","04",5.05,18,2300,2260,16000,28,1360,1650,15,84.1666666666667
"151","mr_151","2016","August","16",2.79,15,2850,3120,34000,42,2100,2630,31,46.5
"152","mr_152","2016","August","17",3.47,15,2640,2900,38000,37,2340,2760,22,57.8333333333333
"153","mr_153","2016","August","19",4.01,18,3250,3570,42000,56,2700,3020,28,66.8333333333333
"154","mr_154","2016","August","24",3.18,15,2530,2740,52000,38,2810,3150,32,53
"155","mr_155","2016","September","02",3.13,15,2780,2640,38000,21,2130,2830,15,52.1666666666667
"156","mr_156","2016","September","07",2.43,18,2740,3360,24000,32,2210,2490,28,40.5
"157","mr_157","2016","September","19",3.08,15,2530,3460,21000,38,2300,2760,33,51.3333333333333
"158","mr_158","2016","October","09",2.9,15,1876,3990,27600,10,1240,1980,11,48.3333333333333
"159","mr_159","2016","October","27",3,18,2340,3150,19000,46,2470,2810,37,50
"160","mr_160","2016","November","17",2.01,15,2244,4358,27000,64,3400,3700,22,33.5
"161","mr_161","2016","November","29",1.98,15,2980,4460,36000,18,1880,1610,11,33
"162","mr_162","2016","November","30",2.75,18,3460,5840,16000,42,3260,3430,34,45.8333333333333
"163","mr_163","2016","December","01",3.41,15,1840,4760,23000,43,3470,3800,6,56.8333333333333
"164","mr_164","2016","December","06",2.55,15,1360,3850,34000,39,2340,4220,24,42.5
"165","mr_165","2016","December","16",1.74,18,1880,2890,26000,59,2100,4040,20,29
"166","mr_166","2016","December","02",2.13,15,2460,2740,32000,48,3250,4430,15,35.5
"167","mr_167","2017","January","19",2.43,15,2260,2780,28000,36,2870,3640,22,40.5
"168","mr_168","2017","February","26",2.32,18,2890,2460,30000,22,2610,3250,19,38.6666666666667
"169","mr_169","2017","February","26",3.72,15,2140,1870,15000,23,2040,2450,12,62
"170","mr_170","2017","March","30",2.14,15,2570,2930,23000,28,2650,2910,14,35.6666666666667
